date,count,weekday,moving_avg,cumulative,delta,phase
2025-03-01,4,토요일,4.0,698,-0.04761904761904775,쇠퇴기
2025-03-02,4,일요일,4.0,702,-0.04761904761904775,쇠퇴기
2025-03-03,4,월요일,4.0,706,-0.04761904761904775,쇠퇴기
2025-03-04,4,화요일,4.0,710,0.0,정체기
2025-03-05,4,수요일,4.0,714,0.0,정체기
2025-03-06,4,목요일,4.0,718,0.0,정체기
2025-03-07,4,금요일,4.0,722,0.0,정체기
2025-03-08,3,토요일,3.857142857142857,725,-0.047619047619047596,쇠퇴기
2025-03-09,4,일요일,3.857142857142857,729,-0.047619047619047596,쇠퇴기
2025-03-10,4,월요일,3.857142857142857,733,-0.047619047619047596,쇠퇴기
2025-03-11,4,화요일,3.857142857142857,737,0.0,정체기
2025-03-12,3,수요일,3.7142857142857144,740,-0.047619047619047596,쇠퇴기
2025-03-13,4,목요일,3.7142857142857144,744,-0.047619047619047596,쇠퇴기
2025-03-14,4,금요일,3.7142857142857144,748,-0.047619047619047596,쇠퇴기
2025-03-15,3,토요일,3.7142857142857144,751,0.0,정체기
2025-03-16,4,일요일,3.7142857142857144,755,0.0,정체기
2025-03-17,3,월요일,3.5714285714285716,758,-0.047619047619047596,쇠퇴기
2025-03-18,4,화요일,3.5714285714285716,762,-0.047619047619047596,쇠퇴기
2025-03-19,3,수요일,3.5714285714285716,765,-0.047619047619047596,쇠퇴기
2025-03-20,4,목요일,3.5714285714285716,769,0.0,정체기
2025-03-21,3,금요일,3.4285714285714284,772,-0.04761904761904775,쇠퇴기
2025-03-22,3,토요일,3.4285714285714284,775,-0.04761904761904775,쇠퇴기
2025-03-23,4,일요일,3.4285714285714284,779,-0.04761904761904775,쇠퇴기
2025-03-24,3,월요일,3.4285714285714284,782,0.0,정체기
2025-03-25,4,화요일,3.4285714285714284,786,0.0,정체기
2025-03-26,3,수요일,3.4285714285714284,789,0.0,정체기
2025-03-27,3,목요일,3.2857142857142856,792,-0.047619047619047596,쇠퇴기
2025-03-28,3,금요일,3.2857142857142856,795,-0.047619047619047596,쇠퇴기
2025-03-29,4,토요일,3.4285714285714284,799,0.0,정체기
2025-03-30,3,일요일,3.2857142857142856,802,0.0,정체기
2025-03-31,3,월요일,3.2857142857142856,805,0.0,정체기
2025-04-01,3,화요일,3.142857142857143,808,-0.09523809523809519,쇠퇴기
2025-04-02,3,수요일,3.142857142857143,811,-0.047619047619047596,쇠퇴기
2025-04-03,4,목요일,3.2857142857142856,815,0.0,정체기
2025-04-04,3,금요일,3.2857142857142856,818,0.047619047619047596,성장기
2025-04-05,3,토요일,3.142857142857143,821,0.0,정체기
2025-04-06,3,일요일,3.142857142857143,824,-0.047619047619047596,쇠퇴기
2025-04-07,3,월요일,3.142857142857143,827,-0.047619047619047596,쇠퇴기
2025-04-08,3,화요일,3.142857142857143,830,0.0,정체기
2025-04-09,3,수요일,3.142857142857143,833,0.0,정체기
2025-04-10,3,목요일,3.0,836,-0.047619047619047596,쇠퇴기
2025-04-11,3,금요일,3.0,839,-0.047619047619047596,쇠퇴기
2025-04-12,3,토요일,3.0,842,-0.047619047619047596,쇠퇴기
2025-04-13,3,일요일,3.0,845,0.0,정체기
2025-04-14,3,월요일,3.0,848,0.0,정체기
2025-04-15,3,화요일,3.0,851,0.0,정체기
2025-04-16,3,수요일,3.0,854,0.0,정체기
2025-04-17,3,목요일,3.0,857,0.0,정체기
2025-04-18,2,금요일,2.857142857142857,859,-0.047619047619047596,쇠퇴기
2025-04-19,3,토요일,2.857142857142857,862,-0.047619047619047596,쇠퇴기
2025-04-20,3,일요일,2.857142857142857,865,-0.047619047619047596,쇠퇴기
2025-04-21,3,월요일,2.857142857142857,868,0.0,정체기
2025-04-22,3,화요일,2.857142857142857,871,0.0,정체기
2025-04-23,2,수요일,2.7142857142857144,873,-0.047619047619047596,쇠퇴기
2025-04-24,3,목요일,2.7142857142857144,876,-0.047619047619047596,쇠퇴기
2025-04-25,3,금요일,2.857142857142857,879,0.0,정체기
2025-04-26,3,토요일,2.857142857142857,882,0.047619047619047596,성장기
2025-04-27,2,일요일,2.7142857142857144,884,0.0,정체기
2025-04-28,3,월요일,2.7142857142857144,887,-0.047619047619047596,쇠퇴기
2025-04-29,3,화요일,2.7142857142857144,890,-0.047619047619047596,쇠퇴기
2025-04-30,2,수요일,2.7142857142857144,892,0.0,정체기
2025-05-01,3,목요일,2.7142857142857144,895,0.0,정체기
2025-05-02,3,금요일,2.7142857142857144,898,0.0,정체기
2025-05-03,2,토요일,2.5714285714285716,900,-0.047619047619047596,쇠퇴기
2025-05-04,3,일요일,2.7142857142857144,903,0.0,정체기
2025-05-05,3,월요일,2.7142857142857144,906,0.0,정체기
2025-05-06,2,화요일,2.5714285714285716,908,0.0,정체기
2025-05-07,3,수요일,2.7142857142857144,911,0.0,정체기
2025-05-08,2,목요일,2.5714285714285716,913,-0.047619047619047596,쇠퇴기
2025-05-09,3,금요일,2.5714285714285716,916,0.0,정체기
2025-05-10,2,토요일,2.5714285714285716,918,-0.047619047619047596,쇠퇴기
2025-05-11,3,일요일,2.5714285714285716,921,0.0,정체기
2025-05-12,2,월요일,2.4285714285714284,923,-0.04761904761904775,쇠퇴기
2025-05-13,3,화요일,2.5714285714285716,926,0.0,정체기
2025-05-14,2,수요일,2.4285714285714284,928,-0.04761904761904775,쇠퇴기
2025-05-15,3,목요일,2.5714285714285716,931,0.04761904761904775,성장기
2025-05-16,2,금요일,2.4285714285714284,933,-0.04761904761904775,쇠퇴기
2025-05-17,3,토요일,2.5714285714285716,936,0.04761904761904775,성장기
2025-05-18,2,일요일,2.4285714285714284,938,-0.04761904761904775,쇠퇴기
2025-05-19,3,월요일,2.5714285714285716,941,0.04761904761904775,성장기
2025-05-20,2,화요일,2.4285714285714284,943,-0.04761904761904775,쇠퇴기
2025-05-21,2,수요일,2.4285714285714284,945,0.0,정체기
2025-05-22,3,목요일,2.4285714285714284,948,-0.04761904761904775,쇠퇴기
2025-05-23,2,금요일,2.4285714285714284,950,0.0,정체기
2025-05-24,2,토요일,2.2857142857142856,952,-0.047619047619047596,쇠퇴기
2025-05-25,3,일요일,2.4285714285714284,955,0.0,정체기
2025-05-26,2,월요일,2.2857142857142856,957,-0.047619047619047596,쇠퇴기
2025-05-27,2,화요일,2.2857142857142856,959,0.0,정체기
2025-05-28,3,수요일,2.4285714285714284,962,0.0,정체기
2025-05-29,2,목요일,2.2857142857142856,964,0.0,정체기
2025-05-30,2,금요일,2.2857142857142856,966,0.0,정체기
2025-05-31,3,토요일,2.4285714285714284,969,0.0,정체기
2025-06-01,2,일요일,2.2857142857142856,971,0.0,정체기
2025-06-02,2,월요일,2.2857142857142856,973,0.0,정체기
2025-06-03,2,화요일,2.2857142857142856,975,-0.047619047619047596,쇠퇴기
2025-06-04,3,수요일,2.2857142857142856,978,0.0,정체기
2025-06-05,2,목요일,2.2857142857142856,980,0.0,정체기
2025-06-06,2,금요일,2.2857142857142856,982,0.0,정체기
2025-06-07,2,토요일,2.142857142857143,984,-0.047619047619047596,쇠퇴기
2025-06-08,3,일요일,2.2857142857142856,987,0.0,정체기
2025-06-09,2,월요일,2.2857142857142856,989,0.0,정체기
2025-06-10,2,화요일,2.2857142857142856,991,0.047619047619047596,성장기
2025-06-11,2,수요일,2.142857142857143,993,-0.047619047619047596,쇠퇴기
2025-06-12,2,목요일,2.142857142857143,995,-0.047619047619047596,쇠퇴기
2025-06-13,2,금요일,2.142857142857143,997,-0.047619047619047596,쇠퇴기
2025-06-14,2,토요일,2.142857142857143,999,0.0,정체기
2025-06-15,1,일요일,1.8571428571428572,1000,-0.09523809523809519,쇠퇴기
